Week,impeachment,LeBron James,North Korea,Overwatch
2016-06-12,0,51,2,34
2016-06-19,0,100,2,31
2016-06-26,0,23,2,35
2016-07-03,0,23,2,29
2016-07-10,0,14,3,29
2016-07-17,0,12,2,24
2016-07-24,1,11,33,21
2016-07-31,0,11,17,24
2016-08-07,0,12,6,21
2016-08-14,0,11,5,25
2016-08-21,0,10,4,22
2016-08-28,1,8,4,19
2016-09-04,0,8,8,22
2016-09-11,1,8,6,20
2016-09-18,1,8,4,16
2016-09-25,1,8,4,15
2016-10-02,1,9,3,15
2016-10-09,2,9,3,23
2016-10-16,1,10,3,19
2016-10-23,1,13,3,15
2016-10-30,2,16,3,22
2016-11-06,6,12,3,20
2016-11-13,2,13,3,21
2016-11-20,1,11,2,23
2016-11-27,1,12,3,19
2016-12-04,1,12,3,17
2016-12-11,1,12,3,23
2016-12-18,1,13,2,26
2016-12-25,0,17,2,24
2017-01-01,1,12,4,24
2017-01-08,2,11,3,19
2017-01-15,3,13,3,20
2017-01-22,4,13,3,25
2017-01-29,7,17,4,19
2017-02-05,4,14,3,18
2017-02-12,5,12,10,18
2017-02-19,3,12,5,20
2017-02-26,2,12,4,26
2017-03-05,2,11,8,19
2017-03-12,2,10,8,16
2017-03-19,3,13,8,18
2017-03-26,2,13,5,15
2017-04-02,2,11,13,16
2017-04-09,1,11,59,23
2017-04-16,1,14,56,17
2017-04-23,1,12,45,17
2017-04-30,1,15,27,17
2017-05-07,4,15,17,16
2017-05-14,17,19,21,17
2017-05-21,4,23,13,26
2017-05-28,2,32,16,27
2017-06-04,2,34,9,24
